song,artist,cluster
Oh Girl,Paul Young,6
All Around the World,Lisa Stansfield,1
"Never, Never Gonna Give You Up",Lisa Stansfield,2
More Than This,Roxy Music,6
These Are Days - Live Unplugged,"10,000 Maniacs",2
Eat for Two - Live Unplugged,"10,000 Maniacs",2
Candy Everybody Wants - Live Unplugged,"10,000 Maniacs",2
I'm Not the Man - Live Unplugged,"10,000 Maniacs",2
Don't Talk - Live Unplugged,"10,000 Maniacs",2
Hey Jack Kerouac - Live Unplugged,"10,000 Maniacs",2
What's the Matter Here? - Live Unplugged,"10,000 Maniacs",2
Gold Rush Brides - Live Unplugged,"10,000 Maniacs",2
Like the Weather - Live Unplugged,"10,000 Maniacs",2
Trouble Me - Live Unplugged,"10,000 Maniacs",2
Jezebel - Live Unplugged,"10,000 Maniacs",2
Because the Night - Live Unplugged,"10,000 Maniacs",2
Stockton Gala Days - Live Unplugged,"10,000 Maniacs",2
Noah's Dove - Live Unplugged,"10,000 Maniacs",2
What I Am,Edie Brickell & New Bohemians,5
Little Miss S.,Edie Brickell & New Bohemians,6
Air Of December,Edie Brickell & New Bohemians,4
The Wheel,Edie Brickell & New Bohemians,1
Love Like We Do,Edie Brickell & New Bohemians,6
Circle,Edie Brickell & New Bohemians,4
Beat The Time,Edie Brickell & New Bohemians,5
She,Edie Brickell & New Bohemians,1
Nothing,Edie Brickell & New Bohemians,4
Now,Edie Brickell & New Bohemians,4
Keep Coming Back,Edie Brickell & New Bohemians,5
I Do,Edie Brickell & New Bohemians,4
Wonder,Natalie Merchant,1
Carnival,Natalie Merchant,5
Jealousy,Natalie Merchant,1
The Snake,Al Wilson,2
Show and Tell,Al Wilson,1
Oh Girl,The Chi-Lites,6
Have You Seen Her,The Chi-Lites,4
Didn't I (Blow Your Mind This Time),The Delfonics,4
La-La Means I Love You,The Delfonics,7
You Make Me Feel Brand New,The Stylistics,4
You Are Everything,The Stylistics,3
You Are Everything,"Russell Thompkins, Jr.",3
"Betcha By Golly, Wow",The Stylistics,4
People Make the World Go Round,The Stylistics,3
Break Up to Make Up,The Stylistics,4
I'm Stone in Love With You,The Stylistics,4
You'll Never Get to Heaven - If You Break My Heart,The Stylistics,4
The Rubberband Man,The Spinners,6
It's A Shame,The Spinners,7
I'll Be Around,The Spinners,5
Could It Be I'm Falling in Love,The Spinners,5
"Working My Way Back to You / Forgive Me, Girl",The Spinners,5
Games People Play,The Spinners,3
Then Came You,Dionne Warwick,5
Then Came You,The Spinners,5
One of a Kind (Love Affair),The Spinners,1
Ghetto Child,The Spinners,4
Cowboys to Girls,The Intruders,2
Don't Leave Me This Way (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,7
Don't Leave Me This Way (feat. Teddy Pendergrass),Teddy Pendergrass,7
The Love I Lost (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,1
The Love I Lost (feat. Teddy Pendergrass),Teddy Pendergrass,1
If You Don't Know Me by Now (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,2
If You Don't Know Me by Now (feat. Teddy Pendergrass),Teddy Pendergrass,2
Everybody Plays the Fool,The Main Ingredient,1
Just Don't Want To Be Lonely,The Main Ingredient,3
Kiss and Say Goodbye,The Manhattans,6
Shining Star,The Manhattans,1
Whatcha See Is Whatcha Get,The Dramatics,6
In The Rain,The Dramatics,3
I'd Do Anything For Love (But I Won't Do That) - Single Edit,Meat Loaf,7
Paradise By the Dashboard Light,Meat Loaf,7
Bat Out of Hell,Meat Loaf,7
Two Out of Three Ain't Bad,Meat Loaf,6
You Took The Words Right Out of My Mouth (Hot Summer Night),Meat Loaf,2
Life Is A Lemon And I Want My Money Back,Meat Loaf,7
I'd Lie For You (And That's The Truth),Meat Loaf,7
Rock And Roll Dreams Come Through,Meat Loaf,7
Jackie Blue,The Ozark Mountain Daredevils,1
Amie,Pure Prairie League,4
Let Me Love You Tonight,Pure Prairie League,6
I Get to Love You,Ruelle,4
Dominique,The Singing Nuns,4
Maniac,Michael Sembello,5
Closing Time,Semisonic,7
Harden My Heart,Quarterflash,5
Don't Worry Be Happy,Bobby McFerrin,4
Boogie Oogie Oogie,A Taste Of Honey,5
Sex & Candy,Marcy Playground,1
(I Just) Died In Your Arms - Extended Remix,Cutting Crew,5
Oh Sheila,Ready For The World,1
Hey! Baby,Bruce Channel,6
Come On Eileen,Dexys Midnight Runners,1
Somebody's Watching Me - Single Version,Rockwell,5
Chariots Of Fire,Vangelis,7
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,5
Will It Go Round In Circles,Billy Preston,1
The Loco-Motion,Grand Funk Railroad,2
She's A Beauty,The Tubes,1
Bette Davis Eyes - Radio Edit,Kim Carnes,6
Bette Davis Eyes - Radio Edit,Marc Andrews,6
Bette Davis Eyes - Radio Edit,Donald Lynch,6
Centerfold,The J. Geils Band,1
Heat Of The Moment,Asia,7
Addicted To Love,Robert Palmer,1
Addicted To Love,Eric 'ET' Thorngren,1
Missing You,John Waite,6
Beth,KISS,4
War,Edwin Starr,1
Shop Around,The Miracles,2
Sealed With A Kiss - Single Version,Brian Hyland,3
My Boyfriend's Back - Single Version,The Angels,6
Dancing In The Street - Single Version,Martha Reeves & The Vandellas,5
Leader Of The Pack - Single Version,The Shangri-Las,2
Baby Love - Mono,The Supremes,1
You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,4
The Game Of Love,Wayne Fontana & The Mindbenders,6
Wooly Bully,Sam The Sham & The Pharaohs,4
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,1
Eve Of Destruction,Barry McGuire,1
Rescue Me - Single Version,Fontella Bass,6
1-2-3,Len Barry,1
I Got You (I Feel Good),James Brown & The Famous Flames,6
Lightnin' Strikes,Lou Christie,1
California Dreamin' - Single Version,The Mamas & The Papas,5
Wild Thing,The Troggs,0
98.6,Keith,4
Come On Down To My Boat,Every Mother's Son,6
Sunday Will Never Be The Same,Spanky & Our Gang,1
A Whiter Shade Of Pale,Procol Harum,4
Reflections,Diana Ross & The Supremes,1
Incense And Peppermints - Stereo Version,Strawberry Alarm Clock,6
"The Rain, The Park & Other Things - Single Version",The Cowsills,6
"Bend Me, Shape Me - Single Version",The American Breed,6
Love Is Blue - Instrumental,Paul Mauriat,8
Grazing In The Grass,Hugh Masekela,8
Love Child - Single Version (Mono),Diana Ross & The Supremes,5
I Heard It Through The Grapevine - Single Version (Mono),Marvin Gaye,5
Only The Strong Survive - Single Version,Jerry Butler,6
Rock Me,Steppenwolf,1
Give A Little Bit,Supertramp,1
Don't Stop - 2004 Remaster,Fleetwood Mac,6
American Woman,The Guess Who,1
Me and Bobby McGee,Janis Joplin,1
A Horse with No Name,America,3
A Horse with No Name,George Martin,3
Still The Same,Bob Seger,1
Touch Me,The Doors,1
Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,6
Ramblin' Man,Allman Brothers Band,7
Crazy On You,Heart,3
More Than a Feeling,Boston,7
American Pie,Don McLean,3
Feel like Makin' Love - 2015 Remaster,Bad Company,2
All Right Now,Free,1
Nights In White Satin - Single Version,The Moody Blues,3
Fly Like An Eagle,Steve Miller Band,5
Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,7
My Sharona,The Knack,1
Bang a Gong (Get It On) - 2003 Remaster,T. Rex,1
White Room,Cream,1
The Boys Of Summer,Don Henley,6
Go Your Own Way,Fleetwood Mac,6
American Girl,Tom Petty and the Heartbreakers,1
Let It Rain,Eric Clapton,7
Born to Run,Bruce Springsteen,7
Midnight Rider,Allman Brothers Band,4
Learning To Fly,Tom Petty and the Heartbreakers,1
Walk On the Wild Side,Lou Reed,4
Radar Love,Golden Earring,7
Life's Been Good,Joe Walsh,7
Somebody to Love,Jefferson Airplane,1
Piece Of My Heart,Janis Joplin,1
Edge of Seventeen - 2016 Remaster,Stevie Nicks,1
Free Fallin',Tom Petty,1
Sunshine Of Your Love,Cream,1
Knockin' On Heaven's Door,Bob Dylan,4
Dust in the Wind,Kansas,4
Back In The U.S.S.R. - 2018 Mix,The Beatles,6
(Don't Fear) The Reaper,Blue Öyster Cult,5
Ramblin' Gamblin' Man,Bob Seger,6
Heart Full of Soul,The Yardbirds,5
Take The Money And Run,Steve Miller Band,1
Foreplay / Long Time,Boston,7
Barracuda,Heart,5
Love Her Madly,The Doors,5
Can't You See,The Marshall Tucker Band,7
Once in a Lifetime - 2005 Remaster,Talking Heads,2
Free Bird,Lynyrd Skynyrd,7
Runnin' Down A Dream,Tom Petty and the Heartbreakers,7
Light My Fire,The Doors,7
Landslide,Fleetwood Mac,3
Life in the Fast Lane - 2013 Remaster,Eagles,6
Old Time Rock & Roll,Bob Seger,6
Revolution - Remastered 2009,The Beatles,0
The Chain,Fleetwood Mac,6
Peace of Mind,Boston,7
Turn The Page - Live In Detroit/1975,Bob Seger,2
Sultans of Swing,Dire Straits,6
White Wedding - Pt. 1,Billy Idol,6
Roadhouse Blues,The Doors,6
Casey Jones - 2013 Remaster,Grateful Dead,1
All Day and All of the Night,The Kinks,6
House Of The Rising Sun,The Animals,3
Here I Go Again 87 - 2017 Remastered Version,Whitesnake,7
You Really Got Me,The Kinks,6
Riders on the Storm,The Doors,5
Everywhere,Fleetwood Mac,1
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,7
Roxanne - Remastered 2003,The Police,0
Mississippi Queen,Mountain,6
Sweet Emotion,Aerosmith,7
I Want To Hold Your Hand - Remastered 2015,The Beatles,6
London Calling - Remastered,The Clash,1
Hey Joe,Jimi Hendrix,7
Stranglehold,Ted Nugent,7
Under Pressure - Remastered 2011,Queen,1
Under Pressure - Remastered 2011,David Bowie,1
Born in the U.S.A.,Bruce Springsteen,7
I Hate Myself for Loving You,Joan Jett & the Blackhearts,6
Sweet Home Alabama,Lynyrd Skynyrd,6
Back In the Saddle,Aerosmith,1
Friday I'm in Love,The Cure,5
Gimme Three Steps,Lynyrd Skynyrd,6
All Along the Watchtower,Jimi Hendrix,6
Lust For Life,Iggy Pop,7
Smoke on the Water,Deep Purple,8
Somebody To Love - Remastered 2011,Queen,7
Break on Through (To the Other Side),The Doors,6
Carry on Wayward Son,Kansas,7
Purple Haze,Jimi Hendrix,8
Dream On,Aerosmith,7
Every Breath You Take - Remastered 2003,The Police,1
Handle With Care,Traveling Wilburys,6
End Of The Line,Traveling Wilburys,1
Got My Mind Set On You - Remastered 2004,George Harrison,1
I Won't Back Down,Tom Petty,6
My Sweet Lord,George Harrison,5
All Those Years Ago - Remastered 2004,George Harrison,1
Give Me Love (Give Me Peace On Earth),George Harrison,4
Don't Do Me Like That,Tom Petty and the Heartbreakers,1
You Don't Know How It Feels,Tom Petty,6
Don't Come Around Here No More,Tom Petty and the Heartbreakers,6
What Is Life,George Harrison,1
Rocky Mountain Way,Joe Walsh,8
A Life of Illusion,Joe Walsh,1
Ordinary Average Guy,Joe Walsh,1
Walk Away,James Gang,6
Funk #49,James Gang,8
Wait A Million Years - Edit,The Grass Roots,5
Temptation Eyes - Original Recording,The Grass Roots,1
Midnight Confessions - Single Version,The Grass Roots,6
Sooner Or Later,The Grass Roots,1
Let's Live For Today - Uncensored Version,The Grass Roots,3
Two Divided By Love,The Grass Roots,6
Crimson & Clover - Single Version,Tommy James & The Shondells,6
I Think We're Alone Now - Single Version,Tommy James & The Shondells,5
Mony Mony,Tommy James & The Shondells,1
Crystal Blue Persuasion - Single Version,Tommy James & The Shondells,6
Hanky Panky - Single Version,Tommy James & The Shondells,5
Draggin' the Line - Single Version,Tommy James,6
Kind of a Drag,The Buckinghams,4
Don't You Care,The Buckinghams,5
Hey Baby (They're Playing Our Song),The Buckinghams,1
"Mercy, Mercy, Mercy - Single Version",The Buckinghams,1
Indian Lake,The Cowsills,6
Hair (Rerecorded),The Cowsills,3
This Diamond Ring,Gary Lewis & The Playboys,5
Everybody Loves A Clown - Remastered,Gary Lewis & The Playboys,1
She's Just My Style - Remastered,Gary Lewis & The Playboys,6
Count Me In,Gary Lewis & The Playboys,1
Save Your Heart For Me,Gary Lewis & The Playboys,4
Sure Gonna Miss Her - Remastered,Gary Lewis & The Playboys,1
Mr. Blue,Gary Lewis & The Playboys,4
"Secret Agent Man - From ""Secret Agent"" CBS TV Show",Johnny Rivers,2
Swayin' To The Music (Slow Dancin'),Johnny Rivers,4
Memphis - Live At Whiskey A Go Go / 1964 / Remastered 1995,Johnny Rivers,2
"Seventh Son - Live At Whisky A Go-Go, Los Angeles, CA / 1965",Johnny Rivers,2
Mountain Of Love,Johnny Rivers,1
The Poor Side Of Town,Johnny Rivers,3
"Baby, I Need Your Lovin'",Johnny Rivers,1
The Tracks Of My Tears,Johnny Rivers,4
Rockin' Pneumonia And The Boogie Woogie Flu,Johnny Rivers,1
The Letter,The Box Tops,5
Cry Like a Baby,The Box Tops,1
Soul Deep,The Box Tops,6
Neon Rainbow,The Box Tops,4
Groovin',The Young Rascals,3
Good Lovin' - Single Version,The Young Rascals,7
How Can I Be Sure - Single Version; Mono,The Young Rascals,4
Lonely Too Long,The Young Rascals,1
A Girl Like You - Mono,The Young Rascals,3
Happy Together,The Turtles,3
Elenore - Remastered,The Turtles,2
She'd Rather Be With Me,The Turtles,6
You Showed Me - Remastered,The Turtles,3
You Baby - Remastered,The Turtles,6
I'm a Believer - 2006 Remaster,The Monkees,1
Daydream Believer,The Monkees,6
Last Train to Clarksville - Original Stereo Version; 2006 Remaster,The Monkees,2
(I'm Not Your) Steppin' Stone - 2006 Remaster,The Monkees,6
(Theme From) The Monkees - Original Stereo Version; 2006 Remaster,The Monkees,2
"A Little Bit Me, a Little Bit You",The Monkees,6
Pleasant Valley Sunday - 2007 Remaster,The Monkees,1
Valleri,The Monkees,5
D.W. Washburn - 1968 Stereo Mix,The Monkees,1
Jumper,Natalie Taylor,4
Rumble,Link Wray,6
Shakin' All Over,Johnny Kidd & The Pirates,6
Son Of A Preacher Man,Dusty Springfield,1
Green Onions,Booker T. & the M.G.'s,8
Last Night,The Mar-Keys,8
Soul Finger,The Bar-Kays,8
I'll Take You There,The Staple Singers,1
Black Betty,Ram Jam,5
(Sittin' On) the Dock of the Bay,Otis Redding,4
Bring It On Home To Me,Sam Cooke,1
"Hold On, I'm Comin'",Sam & Dave,6
In the Midnight Hour,Wilson Pickett,1
When a Man Loves a Woman,Percy Sledge,4
Hot Child in the City - Extended Remix,Nick Gilder,1
Right Down the Line,Gerry Rafferty,1
City to City,Gerry Rafferty,6
Mattie's Rag,Gerry Rafferty,3
Stealin' Time,Gerry Rafferty,4
Home and Dry,Gerry Rafferty,1
Get It Right Next Time,Gerry Rafferty,1
Stuck In The Middle With You,Stealers Wheel,6
Seasons in the Sun,Terry Jacks,6
"Which Way You Goin', Billy?",The Poppy Family,1
"Which Way You Goin', Billy?",Terry Jacks,1
"Which Way You Goin', Billy?",Susan Jacks,1
Hocus Pocus - Extended Version,Focus,7
Wild Weekend,The Rockin' Rebels,8
Blue Monday - 2016 Remaster,New Order,8
Bizarre Love Triangle,New Order,8
True Faith - 2011 Total Version,New Order,1
Lips Like Sugar,Echo & the Bunnymen,1
Love My Way,The Psychedelic Furs,1
Pretty in Pink,The Psychedelic Furs,7
The Ghost in You,The Psychedelic Furs,6
Heaven,The Psychedelic Furs,1
Heartbreak Beat,The Psychedelic Furs,6
Cars,Gary Numan,1
Love Will Tear Us Apart - 2010 Remaster,Joy Division,8
"If You Leave - From ""Pretty In Pink""",Orchestral Manoeuvres In The Dark,1
Don't You Want Me,The Human League,5
Human - Remastered,The Human League,6
(Keep Feeling) Fascination - Remastered,The Human League,1
Tainted Love,Soft Cell,2
I Ran (So Far Away) - Single Edit,A Flock Of Seagulls,8
Space Age Love Song,A Flock Of Seagulls,7
Wishing (If I Had a Photograph of You),A Flock Of Seagulls,8
"Situation - U.S. 12"" Mix",Yazoo,8
Don't Go - 2008 Remaster,Yazoo,6
Hold Me Now,Thompson Twins,6
Lay Your Hands On Me (Album Version),Thompson Twins,6
Things Can Only Get Better,Howard Jones,6
No One Is to Blame - 2018 Remaster,Howard Jones,4
What Is Love? - Extended Mix,Howard Jones,5
"The Look Of Love, Pt.1",ABC,5
When Smokey Sings,ABC,1
Poison Arrow,ABC,5
Be Near Me,ABC,1
Always Something There to Remind Me - 2018 Remaster,Naked Eyes,2
"Promises, Promises - US Single Version / 2018 Remaster",Naked Eyes,6
Dance Hall Days,Wang Chung,1
Everybody Have Fun Tonight,Wang Chung,6
Send Me An Angel,Real Life,5
Take My Breath Away,Berlin,2
The Metro,Berlin,7
Sex (I'm A) - Re-Recorded,Berlin,1
Masquerade - Re-Recorded,Berlin,7
No More Words,Berlin,2
One Thing Leads To Another,The Fixx,5
Saved By Zero,The Fixx,5
Red Skies - Original Version,The Fixx,5
Stand Or Fall,The Fixx,1
Too Shy,Kajagoogoo,5
The Promise,When In Rome,1
Destination Unknown,Missing Persons,1
Words,Missing Persons,6
Walking In L.A.,Missing Persons,1
Mental Hopscotch,Missing Persons,8
Tenderness,General Public,1
Goody Two Shoes,Adam Ant,5
Strip - Single Version,Adam Ant,2
Desperate but Not Serious,Adam Ant,6
Antmusic,Adam & The Ants,1
Kings Of The Wild Frontier,Adam & The Ants,5
Dog Eat Dog - Remastered,Adam & The Ants,5
Los Rancheros - Demo,Adam & The Ants,5
The Safety Dance,Men Without Hats,1
You Spin Me Round (Like a Record),Dead Or Alive,5
Brand New Lover - Edit,Dead Or Alive,5
Relax,Frankie Goes To Hollywood,5
Shattered Dreams - Remastered 2008,Johnny Hates Jazz,6
Turn Back The Clock,Johnny Hates Jazz,1
Down By The Sally Gardens,Roger Whittaker,4
Irish Whistler,Roger Whittaker,9
I Don't Believe In If Anymore,Roger Whittaker,4
The Skye Boat Song,Roger Whittaker,4
The Skye Boat Song,Des O'Connor,4
You Are My Miracle,Roger Whittaker,7
I Am but a Small Voice,Roger Whittaker,4
Albany - English Version,Roger Whittaker,6
All Of My Life,Roger Whittaker,4
Spanish Eyes,Roger Whittaker,4
Mexican Whistler - Unplugged Version,Roger Whittaker,8
"Something About You - 7"" Version",Level 42,5
Everybody Wants To Rule The World,Tears For Fears,6
Shout,Tears For Fears,7
"Head Over Heels - Dave Bascombe 7"" N.Mix",Tears For Fears,6
"Head Over Heels - Dave Bascombe 7"" N.Mix",Dave Bascombe,6
Let Me Go,Heaven 17,5
Our Lips Are Sealed - Single Version,The Go-Go's,6
We Got The Beat,The Go-Go's,1
Vacation,The Go-Go's,1
Head Over Heels,The Go-Go's,1
Rubber Biscuit - Live,The Blues Brothers,2
Opening: I Can't Turn You Loose - Live,The Blues Brothers,0
Messin' with the Kid - Live,The Blues Brothers,2
(I Got Everything I Need) Almost - Live,The Blues Brothers,2
Shot Gun Blues - Live,The Blues Brothers,2
Groove Me - Live,The Blues Brothers,2
I Don't Know - Live,The Blues Brothers,0
Soul Man - Live,The Blues Brothers,2
"""B"" Movie Box Car Blues - Live",The Blues Brothers,2
"Flip, Flop & Fly - Live",The Blues Brothers,0
She Caught the Katy,The Blues Brothers,6
Peter Gunn Theme,The Blues Brothers,8
Gimme Some Lovin',The Blues Brothers,6
Everybody Needs Somebody to Love,The Blues Brothers,6
Think,The Blues Brothers,6
Think,Aretha Franklin,6
Theme from Rawhide,The Blues Brothers,5
Sweet Home Chicago,The Blues Brothers,2
Dang Me,Roger Miller,4
King Of The Road - Re-Recorded In Stereo,Roger Miller,4
Chug-A-Lug,Roger Miller,6
You Can't Roller Skate In A Buffalo Herd - Single Version,Roger Miller,4
Do-Wacka-Do,Roger Miller,0
Istanbul (Not Constantinople),They Might Be Giants,5
Birdhouse in Your Soul,They Might Be Giants,6
Beyond the Sea,Bobby Darin,3
Dream Lover,Bobby Darin,6
Mack the Knife,Bobby Darin,3
Call Me Irresponsible,Bobby Darin,4
Stupid Cupid,Connie Francis,1
Everybody's Somebody's Fool,Connie Francis,1
My Happiness,Connie Francis,4
Who's Sorry Now,Connie Francis,4
Lipstick On Your Collar,Connie Francis,6
Where The Boys Are,Connie Francis,4
If I Didn't Care,Connie Francis,3
Among My Souvenirs,Connie Francis,6
Mule Skinner Blues,The Fendermen,4
Li'l Red Riding Hood,Sam The Sham & The Pharaohs,4
Chop Suey,Richard Cheese,3
Down With The Sickness,Richard Cheese,2
Yellow,Richard Cheese,1
All I Want For Christmas Is My Two Front Teeth,Spike Jones,0
Car Wash - Long Version,Rose Royce,5
I Wanna Get Next To You,Rose Royce,4
Wishing on a Star,Rose Royce,3
Springtime for Hitler (The Producers),John Morris,4
Springtime for Hitler (The Producers),Mel Brooks,4
Spam Song,Monty Python,3
The Twelve Days Of Christmas,Bob & Doug McKenzie,0
Fish Heads,Barnes & Barnes,6
Ellis Dee,Jimmy Buffett,1
The Great Filling Station Holdup,Jimmy Buffett,1
Railroad Lady,Jimmy Buffett,4
He Went To Paris,Jimmy Buffett,4
Grapefruit - Juicy Fruit,Jimmy Buffett,4
Cuban Crime Of Passion,Jimmy Buffett,1
Why Don't We Get Drunk,Jimmy Buffett,1
Peanut Butter Conspiracy,Jimmy Buffett,1
They Don't Dance Like Carmen No More,Jimmy Buffett,4
I Have Found Me A Home,Jimmy Buffett,4
My Lovely Lady,Jimmy Buffett,1
Death Of An Unpopular Poet,Jimmy Buffett,4
A Mile High In Denver,Jimmy Buffett,5
Pencil Thin Mustache,Jimmy Buffett,3
Come Monday,Jimmy Buffett,4
A Pirate Looks At Forty,Jimmy Buffett,4
Ace,Jimmy Buffett,6
In The Shelter,Jimmy Buffett,1
The Captain And The Kid,Jimmy Buffett,4
Havana Daydreamin',Jimmy Buffett,4
"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett,1
Wonder Why We Ever Go Home,Jimmy Buffett,4
Banana Republics,Jimmy Buffett,4
Tampico Trauma,Jimmy Buffett,1
Lovely Cruise,Jimmy Buffett,4
Margaritaville,Jimmy Buffett,1
In The Shelter,Jimmy Buffett,4
Miss You So Badly,Jimmy Buffett,1
Biloxi,Jimmy Buffett,4
Landfall,Jimmy Buffett,6
Son Of A Son Of A Sailor,Jimmy Buffett,4
Cheeseburger In Paradise,Jimmy Buffett,1
Fins,Jimmy Buffett,1
Volcano,Jimmy Buffett,0
One Particular Harbour,Jimmy Buffett,1
We Are The People Our Parents Warned Us About,Jimmy Buffett,6
Frank And Lola,Jimmy Buffett,6
Desperation Samba (Halloween In Tijuana),Jimmy Buffett,5
Last Mango In Paris,Jimmy Buffett,4
Jolly Mon Sing,Jimmy Buffett,4
Gypsies In The Palace,Jimmy Buffett,6
Creola,Jimmy Buffett,1
The Pascagoula Run,Jimmy Buffett,6
The Pascagoula Run,Elliot Scheiner,6
Everybody's Got A Cousin In Miami,Jimmy Buffett,6
Fruitcakes,Jimmy Buffett,7
Lone Palm,Jimmy Buffett,6
Six String Music,Jimmy Buffett,1
Uncle John's Band,Jimmy Buffett,6
Love In The Library,Jimmy Buffett,4
Quietly Making Noise,Jimmy Buffett,1
"Vampires, Mummies And The Holy Ghost",Jimmy Buffett,1
Sunny Afternoon,Jimmy Buffett,1
Bob Robert's Society Band,Jimmy Buffett,4
School Boy Heart,Jimmy Buffett,1
Holiday,Jimmy Buffett,6
88 Lines about 44 Women,The Nails,1
All I Really Want to Do,The Byrds,6
Wishing Well,Free,5
I'd Love To Change The World,Ten Years After,3
Alone,Heart,4
All I Wanna Do Is Make Love To You,Heart,6
These Dreams,Heart,4
What About Love?,Heart,7
Magic Man,Heart,5
Never,Heart,5
Straight On,Heart,5
If Looks Could Kill,Heart,2
How Can I Refuse,Heart,1
This Man Is Mine,Heart,6
Bebe Le Strange,Heart,1
Even It Up,Heart,6
Dog & Butterfly,Heart,4
Mistral Wind,Heart,7
Love Alive,Heart,4
Sylvan Song,Heart,9
Dream of the Archer,Heart,3
Kick It Out,Heart,5
Little Queen,Heart,5
Treat Me Well,Heart,3
Say Hello,Heart,6
Cry to Me,Heart,4
Go On Cry,Heart,7
Heartless,Heart,5
Dreamboat Annie,Heart,1
Soul Of The Sea,Heart,2
White Lightning And Wine,Heart,5
(Love Me Like Music) I'll Be Your Song,Heart,4
Sing Child,Heart,6
How Deep It Goes,Heart,4
The Stroke - Remastered 2010,Billy Squier,6
Lonely Is The Night - Remastered 2010,Billy Squier,6
My Kinda Lover - Remastered 2010,Billy Squier,5
In The Dark - Remastered 2010,Billy Squier,2
Everybody Wants You,Billy Squier,6
I Want to Know What Love Is - 1999 Remaster,Foreigner,4
Waiting for a Girl like You,Foreigner,7
Juke Box Hero,Foreigner,7
Cold as Ice,Foreigner,5
Hot Blooded,Foreigner,1
Urgent,Foreigner,5
Feels like the First Time - 2008 Remaster,Foreigner,6
Double Vision,Foreigner,5
Starrider - 2017 Remaster,Foreigner,7
"Long, Long Way from Home - 2017 Remaster",Foreigner,6
Headknocker - 2017 Remaster,Foreigner,6
"Blue Morning, Blue Day - 2017 Remaster",Foreigner,2
Dirty White Boy - Radio Edit; 2017 Remaster [Radio Edit],Foreigner,6
Head Games - 2017 Remaster,Foreigner,1
Women - 2017 Remaster,Foreigner,5
That Was Yesterday - 2017 Remaster,Foreigner,5
Sweet Surrender,Bread,6
Diary,Bread,4
It Don't Matter to Me (Single Version),Bread,7
Ventura Highway,America,1
Ventura Highway,George Martin,1
Sister Golden Hair,America,1
I Need You,America,4
I Need You,George Martin,4
You Can Do Magic,America,5
Tin Man,America,6
Lonely People,America,6
Sandman,America,5
Daisy Jane,America,4
The Border,America,5
Muskrat Love,America,4
Muskrat Love,George Martin,4
Don't Cross the River,America,1
Don't Cross the River,George Martin,1
Woman Tonight,America,1
Muskrat Love,Captain & Tennille,4
The Way I Want To Touch You,Captain & Tennille,3
Wedding Song (There Is Love),Captain & Tennille,4
Lonely Night (Angel Face),Captain & Tennille,1
On And On,Stephen Bishop,4
Separate Lives - 2016 Remaster,Phil Collins,4
Separate Lives - 2016 Remaster,Marilyn Martin,4
Easy Lover,Philip Bailey,1
Easy Lover,Phil Collins,1
Two Hearts - 2016 Remaster,Phil Collins,6
Sussudio - 2016 Remaster,Phil Collins,6
I Missed Again - 2015 Remaster,Phil Collins,5
Don't Lose My Number - 2016 Remaster,Phil Collins,5
You Can't Hurry Love - 2016 Remaster,Phil Collins,6
Something Happened on the Way to Heaven - 2016 Remaster,Phil Collins,6
I Wish It Would Rain Down - 2016 Remaster,Phil Collins,7
Both Sides of the Story - 2015 Remaster,Phil Collins,7
In the Air Tonight - 2015 Remaster,Phil Collins,4
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,1
One More Night - 2016 Remaster,Phil Collins,4
A Groovy Kind of Love - 2016 Remaster,Phil Collins,4
That's Just the Way It Is - 2016 Remaster,Phil Collins,4
True Colors - 2016 Remaster,Phil Collins,7
Another Day in Paradise - 2016 Remaster,Phil Collins,3
Take Me Home - 2016 Remaster,Phil Collins,6
I Don't Care Anymore - 2016 Remaster,Phil Collins,6
Do You Remember? - 2016 Remaster,Phil Collins,1
The Magnificent Seven,Elmer Bernstein,9
My Girl,The Temptations,1
Papa Was A Rollin' Stone - Single Version,The Temptations,5
Ain't Too Proud To Beg,The Temptations,1
Just My Imagination (Running Away With Me),The Temptations,4
I Can't Get Next To You,The Temptations,1
Treat Her Like A Lady - Single Version,The Temptations,1
I Wish It Would Rain,The Temptations,7
I'm Gonna Make You Love Me,Diana Ross & The Supremes,4
I'm Gonna Make You Love Me,The Temptations,4
Get Ready,The Temptations,6
The Way You Do The Things You Do,The Temptations,1
(I Know) I'm Losing You,The Temptations,1
Ball Of Confusion (That's What The World Is Today) - Single Version/Mono,The Temptations,1
You've Really Got A Hold On Me,Smokey Robinson & The Miracles,5
Shop Around,The Miracles,2
Mickey's Monkey,Smokey Robinson & The Miracles,5
Ooo Baby Baby,Smokey Robinson & The Miracles,4
The Tracks Of My Tears,Smokey Robinson & The Miracles,4
