song,artist,cluster
Two Of Us - Remastered 2009,The Beatles,6
Across The Universe - Remastered 2009,The Beatles,1
I Me Mine - Remastered 2009,The Beatles,7
Let It Be - Remastered 2009,The Beatles,4
One After 909 - Remastered 2009,The Beatles,2
The Long And Winding Road - Remastered 2009,The Beatles,4
Get Back - Remastered 2009,The Beatles,2
Come Together - Remastered 2009,The Beatles,3
Something - Remastered 2009,The Beatles,4
Maxwell's Silver Hammer - Remastered 2009,The Beatles,1
Oh! Darling - Remastered 2009,The Beatles,7
Octopus's Garden - Remastered 2009,The Beatles,5
I Want You (She's So Heavy) - Remastered 2009,The Beatles,7
Here Comes The Sun - Remastered 2009,The Beatles,6
Because - Remastered 2009,The Beatles,4
You Never Give Me Your Money - Remastered 2009,The Beatles,7
Sun King - Remastered 2009,The Beatles,4
Mean Mr Mustard - Remastered 2009,The Beatles,1
Polythene Pam - Remastered 2009,The Beatles,8
She Came In Through The Bathroom Window - Remastered 2009,The Beatles,1
Golden Slumbers - Remastered 2009,The Beatles,4
Carry That Weight - Remastered 2009,The Beatles,1
The End - Remastered 2009,The Beatles,5
Her Majesty - Remastered 2009,The Beatles,4
All Together Now - Remastered 2009,The Beatles,2
All You Need Is Love - Remastered 2009,The Beatles,6
Dear Prudence - Remastered 2009,The Beatles,7
Glass Onion - Remastered 2009,The Beatles,5
"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles,6
Wild Honey Pie - Remastered 2009,The Beatles,2
The Continuing Story Of Bungalow Bill - Remastered 2009,The Beatles,2
While My Guitar Gently Weeps - Remastered 2009,The Beatles,5
Happiness Is A Warm Gun - Remastered 2009,The Beatles,3
Martha My Dear - Remastered 2009,The Beatles,4
I'm So Tired - Remastered 2009,The Beatles,2
Blackbird - Remastered 2009,The Beatles,4
Piggies - Remastered 2009,The Beatles,2
Rocky Raccoon - Remastered 2009,The Beatles,4
Don't Pass Me By - Remastered 2009,The Beatles,1
Why Don't We Do It In The Road? - Remastered 2009,The Beatles,1
I Will - Remastered 2009,The Beatles,4
Julia - Remastered 2009,The Beatles,4
Birthday - Remastered 2009,The Beatles,8
Yer Blues - Remastered 2009,The Beatles,7
Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009,The Beatles,1
Sexy Sadie - Remastered 2009,The Beatles,1
Helter Skelter - Remastered 2009,The Beatles,2
Revolution 1 - Remastered 2009,The Beatles,2
Honey Pie - Remastered 2009,The Beatles,4
Revolution 9 - Remastered 2009,The Beatles,0
Magical Mystery Tour - Remastered 2009,The Beatles,7
The Fool On The Hill - Remastered 2009,The Beatles,3
Blue Jay Way - Remastered 2009,The Beatles,4
Your Mother Should Know - Remastered 2009,The Beatles,4
I Am The Walrus - Remastered 2009,The Beatles,2
"Hello, Goodbye - Remastered 2009",The Beatles,1
Strawberry Fields Forever - Remastered 2009,The Beatles,4
Penny Lane - Remastered 2009,The Beatles,6
"Baby, You're A Rich Man - Remastered 2009",The Beatles,6
Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,The Beatles,2
With A Little Help From My Friends - Remastered 2009,The Beatles,1
Lucy In The Sky With Diamonds - Remastered 2009,The Beatles,1
Getting Better - Remastered 2009,The Beatles,1
Fixing A Hole - Remastered 2009,The Beatles,3
She's Leaving Home - Remastered 2009,The Beatles,4
Being For The Benefit Of Mr. Kite! - Remastered 2009,The Beatles,1
Within You Without You - Remastered 2009,The Beatles,2
When I'm Sixty Four - Remastered 2009,The Beatles,4
Lovely Rita - Remastered 2009,The Beatles,5
Good Morning Good Morning - Remastered 2009,The Beatles,2
Sgt. Pepper's Lonely Hearts Club Band - Reprise / Remastered 2009,The Beatles,2
A Day In The Life - Remastered 2009,The Beatles,2
Taxman - Remastered 2009,The Beatles,6
Eleanor Rigby - Remastered 2009,The Beatles,3
I'm Only Sleeping - Remastered 2009,The Beatles,5
"Here, There And Everywhere - Remastered 2009",The Beatles,4
Yellow Submarine - Remastered 2009,The Beatles,1
She Said She Said - Remastered 2009,The Beatles,2
Good Day Sunshine - Remastered 2009,The Beatles,6
And Your Bird Can Sing - Remastered 2009,The Beatles,1
Doctor Robert - Remastered 2009,The Beatles,7
Got To Get You Into My Life - Remastered 2009,The Beatles,1
Tomorrow Never Knows - Remastered 2009,The Beatles,7
Drive My Car - Remastered 2009,The Beatles,1
Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,1
Nowhere Man - Remastered 2009,The Beatles,1
Think For Yourself - Remastered 2009,The Beatles,1
Michelle - Remastered 2009,The Beatles,3
Girl - Remastered 2009,The Beatles,3
In My Life - Remastered 2009,The Beatles,4
Run For Your Life - Remastered 2009,The Beatles,1
Help! - Remastered 2009,The Beatles,5
The Night Before - Remastered 2009,The Beatles,1
You've Got To Hide Your Love Away - Remastered 2009,The Beatles,7
You're Going To Lose That Girl - Remastered 2009,The Beatles,1
Ticket To Ride - Remastered 2009,The Beatles,6
Yesterday - Remastered 2009,The Beatles,4
Dizzy Miss Lizzy - Remastered 2009,The Beatles,6
No Reply - Remastered 2009,The Beatles,1
I'm A Loser - Remastered 2009,The Beatles,6
Rock And Roll Music - Remastered 2009,The Beatles,6
I'll Follow The Sun - Remastered 2009,The Beatles,4
Eight Days A Week - Remastered 2009,The Beatles,6
Honey Don't - Remastered 2009,The Beatles,1
A Hard Day's Night - Remastered 2009,The Beatles,1
I Should Have Known Better - Remastered 2009,The Beatles,6
If I Fell - Remastered 2009,The Beatles,4
I'm Happy Just To Dance With You - Remastered 2009,The Beatles,5
And I Love Her - Remastered 2009,The Beatles,3
Can't Buy Me Love - Remastered 2009,The Beatles,1
Any Time At All - Remastered 2009,The Beatles,1
I'll Cry Instead - Remastered 2009,The Beatles,6
Things We Said Today - Remastered 2009,The Beatles,5
I'll Be Back - Remastered 2009,The Beatles,6
It Won't Be Long - Remastered 2009,The Beatles,1
All My Loving - Remastered 2009,The Beatles,5
Don't Bother Me - Remastered 2009,The Beatles,1
Roll Over Beethoven - Remastered 2009,The Beatles,1
You Really Got A Hold On Me - Remastered 2009,The Beatles,4
Money (That's What I Want) - Remastered 2009,The Beatles,5
